小区名称,均价,区域,板块,地址,物业公司,开发商,楼栋总数,房屋总数,经度_百度坐标,纬度_百度坐标,经度_WGS1984坐标,纬度_WGS1984坐标,metro,year,buildingType,propertyExpense
鸿岭花园东区,10109,洪山,街道口,(洪山街道口)石牌岭路283号,武汉周原物业股份有限公司,武汉新鸿发房地产开发有限公司,11,1596,114.347532,30.525475,114.335579135161,30.5216616151169,0,2003,2,1.65
丽水天成,10121,沌口开发区,沌口,(沌口开发区沌口)珠山湖大道5号,暂无信息,暂无信息,4,556,114.14498637807,30.47062542418,114.132877966926,30.466779949851,0,2010,3,1.25
保利圆梦城金玉苑,10135,新洲,阳逻,(新洲阳逻)圆梦南路保利圆梦城金玉苑,保利（武汉）物业管理公司,暂无信息,63,1297,114.58210085318,30.696030982768,114.570558062929,30.6925205241565,0,2008,2,1.2
阳光星城,10142,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街191号,暂无信息,暂无信息,8,319,114.030709,30.580258,114.018606541162,30.5765780506695,0,0,1,-1.0
碧荷花园,10145,蔡甸,蔡甸其它,(蔡甸蔡甸其它)汉马路31号,武汉世纪万达物业管理有限公司,武汉碧荷置业有限公司,8,924,114.027286,30.58937,114.015202665569,30.5856389380276,0,2013,1,1.3
瑞安家园,10148,黄陂,汉口北,(黄陂汉口北)黄陂区盘龙城经济开发区刘店村盘龙瑞安家园,暂无信息,暂无信息,5,124,114.323112,30.697772,114.311110089879,30.6943540046063,0,2005,1,0.5
凯德悦湖,10173,蔡甸,蔡甸其它,(蔡甸蔡甸其它)知音湖大道300号,深圳市金阳成物业管理有限公司武汉分公司,武汉凯惠置业有限公司,18,1889,114.092154,30.539045,114.079886685509,30.5354285313784,0,2011,3,1.8
现代森林小镇金融SOHO垂直商业,10175,东湖高新,金融港,(东湖高新金融港)光谷大道120号（光谷金融港正对面）,武汉华夏物业管理有限公司,湖北双环房地产开发有限责任公司,1,215,114.426749,30.460537,114.414651068066,30.457207685429,0,2013,2,2.8
5S会馆,10177,汉阳,王家湾,(汉阳王家湾)金色环路18号,暂无信息,暂无信息,1,171,114.173401,30.573317,114.161240058586,30.5699457198216,0,2012,1,3.5
市畜科所宿舍区,10178,洪山,白沙洲,(洪山白沙洲)白沙洲大道72号,暂无信息,暂无信息,1,8,114.284565,30.488155,114.27261981209,30.484784130475,0,0,0,-1.0
东光国际公寓,10180,东西湖,金银湖,(东西湖金银湖)金山大道与三店中路交汇,武汉云云物业管理有限公司,武汉市东光经济发展有限公司,1,699,114.149335,30.641313,114.137170781269,30.6374742244051,0,2015,2,2.0
宝丰二路4号,10183,硚口,宝丰崇仁,(硚口宝丰崇仁)宝丰二路4号,无物业管理服务,武汉市市政建设集团有限公司,1,78,114.260982,30.586012,114.249147542678,30.5822346694209,0,0,1,-1.0
金荷花园特一号,10186,沌口开发区,沌口,(沌口开发区沌口)观湖路3号,暂无信息,暂无信息,1,36,114.1629821102,30.499783145209,114.150807056141,30.4962578883157,0,0,0,-1.0
万博庭苑,10221,黄陂,黄陂其它,(黄陂黄陂其它)汉口北大道万博庭苑,暂无信息,暂无信息,3,75,114.35315131047,30.721348158931,114.341214565619,30.717374606605,0,2012,3,1.3
南德新都,10225,黄陂,前川,(黄陂前川)大南街189号,湖北港仁物业发展有限公司,武汉南德置业有限公司,2,731,114.38650412872,30.876604297557,114.374464227712,30.8725804923327,0,2007,3,1.2
宝丰人家,10229,硚口,宝丰崇仁,(硚口宝丰崇仁)宝丰路32号,无物业管理服务,无开发商,1,25,114.25960597049,30.588330329095,114.247773441755,30.5845354054579,2,1998,2,-1.0
祥泰家园F区,10238,东西湖,吴家山,(东西湖吴家山)吴家山二支沟祥泰家园F区,武汉市海景物业管理有限公司,暂无信息,8,204,114.16124385679,30.636330243869,114.149053392595,30.6327214715144,0,2003,1,0.3
梅苑鑫庭,10247,黄陂,盘龙城,(黄陂盘龙城)露甲山路24号,业主自筹物业,暂无信息,1,2,114.250922,30.708121,114.239089736912,30.7042038909724,0,2010,1,0.6
怡园公寓,10251,蔡甸,蔡甸其它,(蔡甸蔡甸其它)后官湖大道怡园公寓,暂无信息,暂无信息,1,150,114.12768460567,30.476874135568,114.11557651184,30.4728604788726,0,2006,2,1.0
张浩湾小区,10258,武昌,武昌火车站,(武昌武昌火车站)静安路张浩湾小区,街道办事处（居委会）代管物业,无开发商,1,140,114.32708205235,30.527216845907,114.315069686626,30.5237915987821,7,2001,1,0.5
城北小区,10259,江夏,江夏其它,(江夏江夏其它)古驿道137号,暂无信息,暂无信息,5,84,114.326596,30.36598,114.314612474611,30.3626061970972,0,0,0,-1.0
海滨城花园,10265,沌口开发区,沌口,(沌口开发区沌口)海滨城路2号,暂无信息,暂无信息,20,294,114.144592,30.488148,114.132466572227,30.4842871734836,0,2008,1,1.5
龙发小区,10276,江夏,江夏其它,(江夏江夏其它)武昌大道812号,暂无信息,暂无信息,1,34,114.318391,30.363916,114.306392970346,30.3606663973405,0,0,0,-1.0
滠水春晓,10279,黄陂,黄陂其它,(黄陂黄陂其它)滠口街滠口正街滠水河畔,武汉长安鑫盛投资有限公司,武汉长安鑫盛投资有限公司,9,1932,114.359399,30.714953,114.347474402892,30.7109158615871,0,2012,1,1.8
园艺小区,10280,东西湖,吴家山,(东西湖吴家山)五环大道326号,无物业管理服务,武汉市金山房地产有限公司,24,1069,114.14485380355,30.637711196169,114.132697803439,30.6337971080752,0,2000,1,0.38
28街,10283,黄陂,盘龙城,(黄陂盘龙城)盘龙大道28号,港联物业（武汉）有限公司,武汉致盛集团有限公司,44,674,114.271242,30.720942,114.25934731536,30.717256407855,0,2005,1,0.6
玲珑汇,10286,洪山,青山,(洪山青山)友谊大道948号,暂无信息,暂无信息,1,210,114.387938,30.622966,114.375917223658,30.6190929294325,0,0,2,-1.0
滨湖社区,10299,沌口开发区,沌口,(沌口开发区沌口)车城大道滨湖社区,暂无信息,暂无信息,81,2824,114.154941,30.491242,114.142791042109,30.487566184173,0,2001,3,0.35
赫山新村170号,10304,汉阳,七里庙,(汉阳七里庙)赫山新村170号,暂无信息,暂无信息,1,12,114.230658,30.57211,114.218781466033,30.5683383807483,4,0,1,-1.0
康宁社区,10305,青山,青山,(青山青山)白玉山6街65门6号,暂无信息,暂无信息,16,614,114.493981,30.61172,114.482197244524,30.6078017680659,0,0,0,-1.0
陂商凤城,10311,黄陂,前川,(黄陂前川)木兰大街126号,业主自筹物业,暂无信息,3,396,114.3743215047,30.894299272304,114.362338711765,30.8901399406853,0,2014,1,1.6
龙腾仕家,10315,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街207号,武汉天成物业管理有限公司,武汉市振业房地产开发有限公司,5,248,114.036368,30.578776,114.024225107267,30.5751804206237,0,2000,1,0.55
枫桥苑,10327,汉阳,王家湾,(汉阳王家湾)郭茨口桥西村市,暂无信息,暂无信息,3,72,114.216405,30.576169,114.204434522437,30.5726103488932,3,0,1,-1.0
南干渠社区,10337,青山,青山,(青山青山)工业一路18号,暂无信息,暂无信息,25,1454,114.39610516722,30.633928940863,114.384036942686,30.6301843895822,0,1997,1,0.5
瑞兴园,10341,黄陂,汉口北,(黄陂汉口北)黄陂区盘龙城经济开发区刘店村盘龙·瑞祥熙园·瑞安家园·瑞兴园,暂无信息,暂无信息,5,108,114.323551,30.696816,114.311550217228,30.6933916034406,0,2009,1,0.5
汉乐馨苑,10345,蔡甸,蔡甸其它,(蔡甸蔡甸其它)临嶂大道140号,武汉市红磊物业管理有限公司,武汉飞宏达房地产开发有限公司,2,144,114.03506113927,30.579012169983,114.022927615251,30.5753967608819,0,2009,3,0.5
锦绣豪园,10362,沌口开发区,沌口,(沌口开发区沌口)珠山湖大道209号,暂无信息,暂无信息,23,339,114.14587456167,30.466738456497,114.133767383823,30.4629091326041,0,2002,1,0.7
东湖景园A区,10362,洪山,东湖东亭,(洪山东湖东亭)欢乐大道铁机路,武汉三鑫物业管理有限公司,无开发商,18,4087,114.38125945747,30.588253812402,114.369303550832,30.5843133728687,4,2010,1,1.6
阳逻财富广场,10362,新洲,阳逻,(新洲阳逻)阳逻江 北快速路与风情大道交汇处,武汉农商置业有限公司,武汉农商置业有限公司,4,783,114.585264,30.694712,114.573740341482,30.6911529123194,0,2015,2,1.5
洪山府郡,10368,蔡甸,蔡甸其它,(蔡甸蔡甸其它)海滨城路16号,暂无信息,暂无信息,9,1277,114.13723987452,30.484334381738,114.1251271255,30.4803772954522,0,0,0,-1.0
国创青云,10369,蔡甸,蔡甸其它,(蔡甸蔡甸其它)天鹅湖大道,武汉市天道隆发房地产开发有限公司,武汉市天道隆房地产开发有限公司,8,812,114.091034,30.515004,114.078751470932,30.5114122385287,0,2015,3,1.8
荷风雅居,10375,蔡甸,蔡甸其它,(蔡甸蔡甸其它)工农路荷风雅居,暂无信息,暂无信息,4,582,114.05034057877,30.582652924755,114.038103533984,30.5792481414751,0,1990,2,0.9
东风凤凰城,10375,蔡甸,蔡甸其它,(蔡甸蔡甸其它)经济技术开发区后官湖大道全力一路139号,暂无信息,暂无信息,8,1063,114.09904704057,30.472361567118,114.086838000459,30.4686428174609,0,2013,3,1.88
万博玖珑湾,10377,黄陂,盘龙城,(黄陂盘龙城)甲宝山路万博玖珑湾,武汉万锦物业管理有限公司,武汉万博房地产开发有限公司,21,1185,114.25761,30.693067,114.245776425454,30.6892070226806,0,2016,1,1.7
湖北省琴断口监狱宿舍,10384,汉阳,王家湾,(汉阳王家湾)琴台大道,暂无信息,暂无信息,1,24,114.18021499896,30.583536519405,114.168055693391,30.5802328828218,0,1989,1,0.5
湖北疏浚,10386,汉阳,钟家村,(汉阳钟家村)下马湖100号,无物业管理服务,无开发商,10,452,114.25699886621,30.542161538221,114.245156054601,30.5383505120854,0,1998,1,-1.0
武珞路302号,10388,武昌,武昌火车站,(武昌武昌火车站)武珞路302号,暂无信息,暂无信息,1,28,114.329011,30.54401,114.317016520753,30.5405481177292,7,0,1,-1.0
中山广场,10405,江汉,武广万松园,(江汉武广万松园)解放大道557号,武汉东方美好物业,武汉中城投资有限公司,1,704,114.275822,30.587576,114.263928430139,30.5840305936822,2,2006,1,3.0
板桥逸景,10413,黄陂,前川,(黄陂前川)板桥大道与岱黄高速交汇处,武汉市鸿宇物业管理有限责任公司,武汉天舜天港置业有限公司,10,1717,114.364281,30.875948,114.352311529243,30.871786848314,0,2015,1,1.8
南美银邦,10419,黄陂,前川,(黄陂前川)百兴街66号,武汉合利物业管理有限公司,武汉银都房地产开发有限公司,6,391,114.3934102517,30.882601241331,114.381335357285,30.8786837051252,0,2007,1,1.2
枫树庭院,10427,蔡甸,蔡甸其它,(蔡甸蔡甸其它)枫树一路72号,暂无信息,暂无信息,1,276,114.13408895088,30.480369498656,114.121981424406,30.4763853574305,0,0,0,-1.0
博学尚品,10437,沌口开发区,沌口,(沌口开发区沌口)车城西路与博学路交汇处,武汉市精华科贸有限公司,武汉市精华科贸有限公司,1,532,114.166362,30.508725,114.154175522996,30.5052566189479,3,2013,2,2.38
仁民医院,10463,硚口,古田,(硚口古田)长天路5号,暂无信息,暂无信息,1,8,114.204251,30.610662,114.192167431343,30.6072670674327,0,0,1,-1.0
惠民苑二期,10465,汉阳,王家湾,(汉阳王家湾)黄金口五村特1号,暂无信息,暂无信息,13,1525,114.179571,30.591776,114.167405368391,30.5884628407187,0,2005,1,1.5
m³立方城,10468,东西湖,吴家山,(东西湖吴家山)七雄路m³立方城,武汉保利物业管理有限公司,武汉誉景实业发展有限公司,8,1154,114.134383,30.622358,114.122242932434,30.6183222389613,1,2012,1,1.8
东鑫鑫海花城西区,10470,东西湖,金银湖,(东西湖金银湖)吴北路199号,武汉江源屋宇管理有限公司,武汉东鑫集团物业发展有限公司,13,600,114.14799830454,30.652786903393,114.13584207585,30.6489210150366,0,2004,1,0.6
碧桂园学府壹号,10477,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街西端（汉阳一中对面）,武汉碧桂园物业管理有限公司,武汉市蔡甸碧桂园房地产开发有限公司,11,1661,114.017477,30.582985,114.005457948147,30.5791580038425,0,2016,1,2.4
康卓新城,10478,东湖高新,关西长职,(东湖高新关西长职)雄楚大道682号,暂无信息,暂无信息,11,3852,114.390332,30.508094,114.378306228653,30.5042985312587,2,0,0,2.0
成园小区,10484,东湖高新,华科大,(东湖高新华科大)文盛路成园小区,暂无信息,暂无信息,6,3928,114.448649,30.503883,114.436603887287,30.5003494470888,0,0,1,-1.0
发展大道385号,10489,江岸,唐家墩,(江岸唐家墩)发展大道385号,无物业管理服务,武汉市市政建设集团有限公司,1,84,114.283606,30.626664,114.271638421751,30.6232258243851,6,0,1,-1.0
祥鑫天骄城,10499,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街188号,武汉市弘政物业管理有限公司,武汉祥鑫房地产有限公司,14,402,114.02658387342,30.580225666247,114.014510203245,30.576490141035,0,2008,1,0.65
家安小区,10501,硚口,吴家山,(硚口吴家山)舵落口联谊路,无物业管理服务,无开发商,3,138,114.17607317007,30.612858679661,114.163882950835,30.6094978535216,1,1997,1,1.0
理想时代,10504,江夏,江夏其它,(江夏江夏其它)北华街理想时代,暂无信息,暂无信息,3,336,114.340453,30.364794,114.328512452021,30.3611539942285,0,0,0,-1.0
建华社区B区,10510,沌口开发区,沌口,(沌口开发区沌口)沌口路255号,暂无信息,暂无信息,5,156,114.19922134527,30.465863592138,114.187141045638,30.4625776363942,0,0,2,0.6
前川欣城,10512,黄陂,前川,(黄陂前川)前川大道463号,武汉信邦物业服务有限公司,湖北鑫东房地产开发有限公司,37,1542,114.376298,30.87063,114.364303305058,30.8664952590742,0,2011,1,0.6
福晟滨江国际,10515,蔡甸,蔡甸其它,(蔡甸蔡甸其它)茂林路9号,武汉市福晟房地产开发有限公司,武汉市福晟房地产开发有限公司,12,2408,114.045531,30.588605,114.033319738232,30.5851383113719,0,2015,1,1.4
南美韵城,10518,黄陂,前川,(黄陂前川)黄埔大道南美韵城,武汉合利物业管理有限公司,武汉长安鑫盛投资有限公司,7,630,114.390284,30.88526,114.37822632355,30.8812896536239,0,2009,1,1.0
哥特帝景,10519,黄陂,盘龙城,(黄陂盘龙城)露甲山路特8号,暂无信息,暂无信息,30,1275,114.25284,30.711928,114.241004359311,30.7080186028049,0,2009,3,1.0
船机璟苑,10556,洪山,洪山其它,(洪山洪山其它)武东东路船机璟苑,暂无信息,暂无信息,3,504,114.471117,30.587064,114.459257042196,30.5831801048708,0,0,0,-1.0
沁园首府,10570,蔡甸,蔡甸其它,(蔡甸蔡甸其它)莲花大道与茂盛路交汇处,武汉市天诚物业管理有限公司,武汉市奔业房屋开发有限公司,4,846,114.044307,30.574728,114.032109010341,30.571250880517,0,2014,3,1.2
南德滨水雅苑,10578,黄陂,前川,(黄陂前川)大南街4号,暂无信息,暂无信息,1,187,114.38874330952,30.871799350013,114.376693003356,30.8678119728377,0,0,1,1.5
罗纳河谷,10580,黄陂,盘龙城,(黄陂盘龙城)盘龙城大道甲宝山路罗纳河谷,武汉卓业物业管理有限公司,武汉磊越置业发展有限公司,27,640,114.260697,30.690955,114.248856377044,30.687130184302,0,2008,1,1.5
江北第一府东苑,10582,黄陂,前川,(黄陂前川)黄陂大道455号,暂无信息,暂无信息,12,546,114.37074364609,30.883618208407,114.358764740243,30.8794487083436,0,2007,1,1.2
黄陂人信城,10586,黄陂,前川,(黄陂前川)前川百秀街188号,武汉和信物业管理公司,武汉人信新城房地产开发有限公司,18,2980,114.379961,30.898169,114.367960821753,30.8940539014279,0,2015,3,1.6
白金公馆,10590,沌口开发区,沌口,(沌口开发区沌口)枫树二路78号,暂无信息,暂无信息,4,292,114.13304769624,30.470270004223,114.120949461717,30.4662831271272,0,2009,1,1.2
致成雅阁,10601,蔡甸,蔡甸其它,(蔡甸蔡甸其它)汉阳大道致成雅阁,暂无信息,武汉市齐联房地产开发有限公司,1,176,114.124088,30.55718,114.111968820068,30.5531418269945,0,2009,1,1.0
海景花园D区,10611,东西湖,吴家山,(东西湖吴家山)吴家山二雅路,武汉市海景物业管理有限公司,武汉市海景置业发展有限责任公司,8,234,114.16014442793,30.636048295844,114.147956142009,30.6324185853226,0,1997,3,0.3
杏林花苑,10616,黄陂,前川,(黄陂前川)百盛街25附1号,湖北美佳和谐物业管理有限公司,暂无信息,2,222,114.38988846219,30.883641017692,114.37783232097,30.8796650990009,0,2012,1,0.5
老政府宿舍,10632,黄陂,前川,(黄陂前川)南潭路老政府宿舍,暂无信息,暂无信息,4,64,114.38641964075,30.878456568549,114.374380134976,30.8744305184269,0,0,0,-1.0
亚贸恒升公馆,10634,武昌,中南丁字桥,(武昌中南丁字桥)武珞路628号亚贸广场A座,武汉市亚贸广场物业管理有限公司,武汉市亚洲贸易广场股份有限公司,1,650,114.349558,30.535207,114.337615514927,30.5313590478141,2,2012,2,-1.0
二八八社区,10637,黄陂,汉口北,(黄陂汉口北)汉口北大道二八八社区,暂无信息,暂无信息,36,1470,114.319394,30.703358,114.307383190788,30.6999900883206,0,1995,3,2.5
美联德玛假日,10640,东西湖,金银湖,(东西湖金银湖)黄狮海东路与啤砖路交汇处,武汉美好物业管理有限公司,湖北中天华昌房地产开发有限责任公司,7,784,114.15854,30.660894,114.146367173099,30.6572262743848,0,2015,3,1.7
惠民苑一期,10642,汉阳,王家湾,(汉阳王家湾)黄金口五村特1号,暂无信息,暂无信息,15,1306,114.17526,30.589171,114.163093411632,30.5858159409141,0,2007,1,1.5
硚口区黄家墩,10647,硚口,长丰常码头,(硚口长丰常码头)黄家墩80号,暂无信息,暂无信息,1,10,114.226067,30.616294,114.214130481924,30.6125590792024,0,1998,3,1.2
三和剑桥城,10656,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街三和剑桥城,武汉三和新宇置业有限公司,武汉三和新宇置业有限公司,12,1957,114.015846,30.58482,114.003834427469,30.580982228327,0,2017,3,2.0
博创中央公馆,10656,黄陂,前川,(黄陂前川)石阳街86号,武汉缘安居物业管理有限公司,武汉世博宏成置业有限公司,2,207,114.37704347727,30.87402575434,114.365045214607,30.8698946425205,0,2010,3,0.8
藏龙SOHO,10684,江夏,藏龙岛,(江夏藏龙岛)栗庙路藏龙SOHO,武汉天罡科技发展有限公司,武汉天罡科技发展有限责任公司,6,346,114.434809,30.398343,114.422697628216,30.3949914049743,0,2017,2,2.0
龙山观邸,10691,江夏,江夏其它,(江夏江夏其它)纸坊街青龙路,泽杰物业,武汉盛泰房地产开发有限公司,14,1255,114.324122,30.344058,114.312151897528,30.3407337843892,0,2015,1,1.5
五彩社区,10692,硚口,汉正街,(硚口汉正街)汉正街石码正巷140号,无物业管理服务,无开发商,17,2409,114.28203222555,30.571604088487,114.270112839494,30.5681714228487,6,1996,1,-1.0
海悦天地,10705,江夏,庙山,(江夏庙山)明泽街6号,海南珠江物业酒店管理有限公司武汉分公司,武汉东湖科技创业农庄有限公司,173,358,114.390166,30.389271,114.378150851863,30.3855014224479,0,2008,3,1.42
北华壹號,10711,江夏,江夏其它,(江夏江夏其它)北华街北华壹號,暂无信息,武汉新泰润置业有限责任公司,3,471,114.339481,30.368663,114.327533252508,30.3650403630604,0,2017,1,1.8
建桥新村214号,10716,汉阳,钟家村,(汉阳钟家村)建桥新村214号,无物业管理服务,武汉市市政建设集团有限公司,1,30,114.285946,30.55954,114.274002902655,30.5561715519045,0,0,1,-1.0
盘龙瑞祥熙园,10720,黄陂,前川,(黄陂前川)刘店正街8号,武汉盘龙城生态科技园有限公司,武汉盘龙城生态科技园有限公司,13,539,114.375202,30.85319,114.363223929875,30.8490606606066,0,2009,1,0.5
金湖清水湾,10723,东西湖,金银湖,(东西湖金银湖)金银湖畔,业主自筹物业,武汉王家墩城建开发有限公司,18,2579,114.1775119733,30.672011198724,114.165329968487,30.6686436996144,0,2012,1,1.2
正阳大悦城,10730,蔡甸,蔡甸其它,(蔡甸蔡甸其它)文兴路正阳大悦城,武汉市三君物业管理有限责任公司,武汉正阳昌荣房地产开发有限公司,13,1861,114.021152,30.582132,114.009112487111,30.5783352208041,0,2016,3,1.65
龙城尚品,10737,黄陂,盘龙城,(黄陂盘龙城)巨龙大道盘龙一中西侧,武汉兴北物业管理有限公司,武汉振林置业有限公司,2,298,114.300191,30.707866,114.288185220222,30.7045818372775,0,2015,3,1.5
未来海岸,10745,黄陂,盘龙城,(黄陂盘龙城)川龙大道未来海岸,武汉格林物业管理有限公司,武汉蓝色宝岛置业有限公司,103,1687,114.280019,30.752674,114.268055870969,30.7491172664715,0,2007,1,0.65
三五四一社区,10755,蔡甸,蔡甸其它,(蔡甸蔡甸其它)新天大道827号,暂无信息,暂无信息,45,2139,114.138934,30.562894,114.126826508625,30.5589348839424,0,2001,3,0.35
梨花园小区,10759,东西湖,吴家山,(东西湖吴家山)东吴大道,无物业管理服务,武汉市东兴房地产开发公司,20,710,114.15539926372,30.630256407497,114.143222782259,30.6265370817341,0,1999,1,0.5
保利海寓,10762,江夏,庙山,(江夏庙山)江夏大道78号,暂无信息,暂无信息,1,222,114.378298,30.402809,114.366336188952,30.3988827292744,0,2006,1,1.2
江南花山郡,10764,江夏,江夏其它,(江夏江夏其它)江夏大道和江花大道交汇处,武汉小竹物业管理有限公司,武汉庙山投资集团有限公司,37,4548,114.355675,30.373194,114.343759102719,30.3693028356299,0,2007,3,1.89
名流人和天地二期,10767,黄陂,盘龙城,(黄陂盘龙城)巨龙大道88号,武汉名流幸福物业服务有限公司,美好置业集团股份有限公司武汉分公司,20,664,114.282903,30.717006,114.270956717555,30.7135224883425,0,2000,3,2.7
正康社区,10770,硚口,古田,(硚口古田)古田二路正康社区,无物业管理服务,武汉市市政建设集团有限公司,6,323,114.20625665027,30.613287003289,114.194183818644,30.6098638971381,0,1997,1,-1.0
康怡苑小区,10773,硚口,古田,(硚口古田)古田路64号,无物业管理服务,无开发商,3,120,114.20029528566,30.596662740778,114.188201880346,30.5933220764848,1,2000,2,-1.0
省外贸公司宿舍,10773,汉阳,七里庙,(汉阳七里庙)汉阳大道612到616号,无物业管理服务,暂无信息,1,36,114.238619,30.563358,114.226776057548,30.5595137662051,0,0,1,-1.0
向阳佳苑A区,10784,洪山,武昌火车站,(洪山武昌火车站)丁字桥路80附35号,暂无信息,暂无信息,5,2430,114.336423,30.532819,114.324441973225,30.5292143886166,0,2015,1,-1.0
富丽奥林园,10798,江夏,江夏其它,(江夏江夏其它)江夏大道191号,暂无信息,暂无信息,11,214,114.34328561892,30.372590454823,114.331344976772,30.3688928525206,0,2005,1,0.5
湖口社区,10805,东湖高新,光谷东,(东湖高新光谷东)湖口一路湖口社区,武汉万千广厦物业管理有限公司,中国建筑第七工程局有限公司,28,2389,114.44905432241,30.491712403657,114.437022833631,30.4881789358013,0,2012,1,-1.0
名流人和天地一期,10820,黄陂,盘龙城,(黄陂盘龙城)巨龙大道89号,暂无信息,暂无信息,23,519,114.281407,30.716247,114.26946871847,30.7127395071102,0,2009,1,0.53
汉桥市场综合大楼,10824,汉阳,七里庙,(汉阳七里庙)麒麟路汉桥市场综合大楼,暂无信息,武汉市市政建设集团有限公司,1,60,114.233912,30.561632,114.222048308187,30.557826756167,0,0,1,-1.0
远洋世界剑桥郡,10828,东西湖,金银湖,(东西湖金银湖)临空港大道868号,武汉远洋基业物业管理有限公司,武汉弘福置业有限公司,34,4760,114.149114,30.680457,114.136978713253,30.6766054308101,1,2015,1,2.16
武汉新航城,10834,黄陂,黄陂其它,(黄陂黄陂其它)川龙大道98号,湖北中仁物业管理有限公司,湖北天众置业有限公司,8,817,114.29884,30.803645,114.286828892686,30.8003044491197,0,2009,1,0.5
一品国际,10843,黄陂,盘龙城,(黄陂盘龙城)盘 龙城巨龙大道下集村,武汉品源物业管理有限公司,武汉市源裕龙房地产开发有限公司,8,761,114.29146,30.711829,114.279480004295,30.7084702978735,0,2014,1,1.65
东港国际花园,10846,汉阳,七里庙,(汉阳七里庙)十里新村154号,街道办事处（居委会）代管物业,武汉东港地产有限公司,3,439,114.22785265978,30.567673452513,114.215958891867,30.5639393119929,4,2013,1,1.0
城明花园,10846,江夏,江夏其它,(江夏江夏其它)复江道202号,暂无信息,暂无信息,8,104,114.32357888387,30.365436387469,114.31158866003,30.3621130740237,0,0,1,0.5
富丽百花园,10846,江夏,江夏其它,(江夏江夏其它)东方北路3号,暂无信息,暂无信息,10,368,114.332864,30.365977,114.320898527528,30.3624863750526,0,2004,1,0.18
蔡甸大街223号,10847,蔡甸,蔡甸其它,(蔡甸蔡甸其它)蔡甸大街223号,暂无信息,暂无信息,1,1,114.04553968753,30.579168310297,114.033333012306,30.5757062729606,0,0,0,-1.0
汤逊湖山庄,10847,江夏,庙山,(江夏庙山)江夏大道7号,武汉建华丽物业管理有限公司,武汉市江夏亚太房地产开发有限公司,25,2169,114.38802260158,30.416162450111,114.376024629829,30.4123563970988,0,2000,3,0.6
虹景公寓(黄陂),10851,黄陂,前川,(黄陂前川)双凤大道522号,暂无信息,暂无信息,1,96,114.38178612282,30.881887359016,114.369768844748,30.8777988607823,0,0,2,1.0
观澜逸墅,10857,东湖高新,金融港,(东湖高新金融港)湖东路5号,暂无信息,暂无信息,7,23,114.40852207318,30.42963038225,114.396437711793,30.4261606498041,0,2007,1,1.3
